PRODOTTO,PRICE,CARTELLA,STOCK,NOME
BOLD 3,"17,0",GENERAL,STOCK 4,NM 3/5 100% AEGEAN COTTON GOTS LS
BOLD MELANGE 3,"18,0",MELANGE,STOCK 12,NM 3/5 100% AEGEAN COTTON GOTS
BOLD 5,"17,0",GENERAL,STOCK 4,NM 2/5 100% AEGEAN COTTON GOTS LS
BOLD MELANGE 5,"18,0",MELANGE,STOCK 12,NM 2/5 100% AEGEAN COTTON GOTS LS
SAGE 7,"15,0",GENERAL,STOCK 12,NM 5/34 100% AEGEAN COTTON COMPACT GOTS LS
SAGE 12,"15,0",GENERAL,STOCK 12,NM 2/34 100% AEGEAN COTTON COMPACT GOTS LS
SAGE 12 GLOSS,"18,0",MERCERIZED,STOCK 12,NM 2/36 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
PARSLEY 14,"16,0",GENERAL,STOCK 144,NM 2/50 100% AEGEAN COTTON COMPACT GOTS LS
PARSLEY 14 GLOSS,"19,0",MERCERIZED,STOCK 144,NM 2/54 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
PARSLEY 14 MELANGE,"16,0",MELANGE,STOCK 12,NM 2/50 100% AEGEAN COTTON COMPACT GOTS LS
PARSLEY 12,"16,0",GENERAL,STOCK 24,NM 3/50 100% AEGEANCOTTON COMPACT GOTS LS
PARSLEY 12 GLOSS,"19,0",MERCERIZED,STOCK 24,NM 3/54 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
PARSLEY 12 MELANGE,"16,0",MELANGE,STOCK 12,NM 3/50 100% AEGEAN COTTON GOTS LS
PARSLEY 7,"16,0",GENERAL,STOCK 4,NM 8/50 100% COTTON AEGEAN COMPACT GOTS LS
PARSLEY 7 MELANGE,"16,0",MELANGE,STOCK 12,NM 8/50 100% AEGEAN COTTON LS
PARSLEY CORD 4200,"17,0",GENERAL,STOCK 4,NM 2/50X6 100% AEGEAN COTTON COMPACT LS
PARSLEY CORD 4200 GLOSS,"20,0",MERCERIZED,STOCK 4,NM 2/54X6 100% AEGEAN COTTON COMPACT GOTS GASSED MERCERIZED LS
PARSLEY CORD 1100 GLOSS,"20,0",MERCERIZED,STOCK 4,NM 1100 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
SLICK 12,"17,0",GENERAL,STOCK 12,NM 4/68 100% AEGEAN COTTON COMPACT GOTS LS
SLICK 14,"17,0",GENERAL,STOCK 12,NM 3/68 100% AEGEAN COTTON COMPACT GOTS LS
SLICK 18,"17,0",GENERAL,STOCK 12,NM 2/68 100% AEGEAN COTTON COMPACT GOTS LS
LEGGERO 12,"20,0",GENERAL,STOCK 12,NM 5/100 100% AEGEAN COTTON COMPACT GOTS LS
LEGGERO 12 DRY,"21,0",GENERAL,STOCK 4,NM 5/100 100% AEGEAN COTTON GOTS GASSED LS
LEGGERO 14,"20,0",GENERAL,STOCK 24,NM 4/100 100% AEGEAN COTTON COMPACT GOTS LS
LEGGERO 14 DRY,"21,0",GENERAL,STOCK 4,NM 4/100 100% AEGEAN COTTON GOTS GASSED LS
LEGGERO 14 GLOSS,"23,0",MERCERIZED,STOCK 4,NM 3/105 100% AEGEAN COTTON GOTS GASSED MERCERISED LS
LEGGERO 18,"20,0",GENERAL,STOCK 24,NM 3/100 100% AEGEAN COTTON GOTS LS
LEGGERO 18 DRY,"21,0",GENERAL,STOCK 4,NM 3/100 100% AEGEAN COTTON GOTS GASSED LS
LEGGERO 18 GLOSS,"23,0",MERCERIZED,STOCK 4,NM 3/105 100% AEGEAN COTTON GOTS GASSED MERCERISED LS
LEGGERO 21,"20,0",GENERAL,STOCK 4,NM 2/100 100% AEGEAN COTTON GOTS LS
LEGGERO 21 GLOSS,"23,0",MERCERIZED,STOCK 4,NM 2/105 100% AEGEAN COTTON GOTS GASSED MERCERISED LS
LEGGERO TAPE 2000,"23,0",GENERAL,STOCK 4,NM 2000 100% AEGEAN COTTON GOTS LS
LEGGERO TAPE 2000 GLOSS,"26,0",MERCERIZED,STOCK 4,NM 2000 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
LEGGERO TAPE 2400,"23,0",GENERAL,STOCK 4,NM 2400 100% AEGEAN COTTON GOTS LS
LEGGERO TAPE 2400 GLOSS,"26,0",MERCERIZED,STOCK 4,NM 2400 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
LEGGERO TAPE 3200,"23,0",GENERAL,STOCK 4,NM 3200 100% AEGEAN COTTON GOTS LS
LEGGERO TAPE 3200 GLOSS,"26,0",MERCERIZED,STOCK 4,NM 3200 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
LEGGERO TAPE 3800,"23,0",GENERAL,STOCK 4,NM 3800 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
MOSSO TAPE 3200,"20,0",MERCERIZED,STOCK 4,NM 3200 100% AEGEAN COTTON GOTS GASSED MERCERIZED LS
SUZETTE 12,"17,5",GENERAL,STOCK 24,NM 3/50 100% COTTON AEGEAN GOTS CREPE LS
SUZETTE 12 DRY ,"18,5",GENERAL,STOCK 4,NM 3/50 100% COTTON AEGEAN GOTS GASSED CREPE LS
SUZETTE 14 ,"17,5",GENERAL,STOCK 24,NM 2/50 100% COTTON AEGEAN GOTS CREPE LS
SUZETTE 14 DRY ,"18,5",GENERAL,STOCK 4,NM 2/50 100% COTTON AEGEAN GOTS GASSED CREPE LS
CRISP 12 ,"22,5",GENERAL,STOCK 4,NM 5/100 100% COTTON AEGEAN GOTS CREPE LS
CRISP 14 ,"22,5",GENERAL,STOCK 12,NM 4/100 100% COTTON AEGEAN GOTS CREPE LS
CRISP 18 ,"22,5",GENERAL,STOCK 12,NM 3/100 100% COTTON AEGEAN GOTS CREPE LS
CRISP 21 ,"22,5",GENERAL,STOCK 12,NM 2/100 100% COTTON AEGEAN GOTS CREPE LS
CRISP CORD 8000 ,"25,5",GENERAL,STOCK 4,NM 2/100X2X3 100% COTTON AEGEAN GOTS CREPE LS
BREEZE 14 GLOSS ,"24,0",MERCERIZED,STOCK 4,NM 2/88X2 100% PIMA GASSED MERCERIZED CREPE LS
BEURRE 12,"29,0",GENERAL,STOCK 12,NM 3/50 100% PIMA COTTON GOTS ELS
BEURRE 14 ,"29,0",GENERAL,STOCK 12,NM 2/50 100% PIMA COTTON GOTS ELS
BEURRE 14 GLOSS ,"32,0",MERCERIZED,STOCK 12,NM 2/54 100% PIMA COTTON GOTS GASSED MERCERIZED ELS
BEURRE 7 ,"29,0",GENERAL,STOCK 12,NM 8/50 100% PIMA COTTON GOTS ELS
BEURRE CORD 6500 GLOSS,"34,0",MERCERIZED,STOCK 4,NM 2/54X4 100% PIMA COTTON GOTS GASSED MERCERIZED ELS
BAGUETTE 14 ,"31,0",GENERAL,STOCK 24,NM 4/100 100% PIMA COTTON GOTS ELS
BAGUETTE 14 GLOSS,"34,0",MERCERIZED,STOCK 4,NM 4/105 100% PIMA COTTON GOTS GASSED MERCERIZED ELS
BAGUETTE 14 CREPE ,"33,5",GENERAL,STOCK 4,NM 4/100 100% PIMA COTTON GOTS GASSED CREPE ELS
BAGUETTE CORD 17500 GLOSS ,"36,0",MERCERIZED,STOCK 4,NM 2/105X3 100% PIMA COTTON GOTS GASSED MERCERIZED ELS
BAGUETTE 18 ,"31,0",GENERAL,STOCK 12,NM 3/100 100% PIMA COTTON GOTS ELS
BAGUETTE 21 ,"31,0",GENERAL,STOCK 12,NM 2/100 100% PIMA COTTON GOTS ELS
BAGUETTE 21 GLOSS,"34,0",MERCERIZED,STOCK 4,NM 2/105 100% PIMA COTTON GOTS GASSED MERCERIZED ELS
CHIC 18,"27,0",GENERAL,STOCK 4,NM 4/135 100% PIMA COTTON BCI ELS
CHIC 21,"27,0",GENERAL,STOCK 4,NM 2/135 100% PIMA COTTON BCI ELS
MOSSO 14,"19,0",GENERAL,STOCK 4,NM 2/50 AEGEAN COTTON GOTS SLUB LS
MOSSO LINO 12,"29,0",GENERAL,STOCK 4,NM 17000 66% LINEN 34% AEGEAN COTTON GOTS LS
MAPLE 14,"16,0",GENERAL,STOCK 4,NM 2/50 50% AEGEAN COTTON GOTS LS 50% MODAL FSC
MASH 12,"29,0",GENERAL,STOCK 4,NM 3/50 80% MICROMODAL 10% POLYAMIDE 10% CASHMERE
MASH 14,"29,0",GENERAL,STOCK 4,NM 2/50 80% MICROMODAL 10% POLYAMIDE 10% CASHMERE
FLEXE 14,"24,0",GENERAL,STOCK 4,NM 2/85 95% AEGEAN COTTON GOTS LS 5% ELASTAN
CHURRO 7000,"18,0",GENERAL,STOCK 4,NM 6/50 100% COTTON VORTEX GRS
MOUSSE 5,"19,0",MERCERIZED,STOCK 4,NM 2/34X7 100% VISCOSE ECOVERO
MERINGUE 12,"19,0",GENERAL,STOCK 4,NM 3/50 50% COTTON 40% VISCOSE 10% LINEN
MERINGUE 14,"19,0",GENERAL,STOCK 4,NM 2/50 50% COTTON 40% VISCOSE 10% LINEN
GRATIN 14,"23,0",GENERAL,STOCK 4,NM 2/50 70% AEGEAN COTTON GOTS LS 30% LINEN
RATATOUILLE,"28,0",GENERAL,STOCK 4,NM 2/50 70% AEGEAN COTTON 20% LINEN 10% SILK
SATINÃ‰E 12,"27,0",MERCERIZED,STOCK 4,NM 14000 60% AEGEAN COTTON GOTS 40% VISCOSE ECOVERO
JAMIRO 14,"39,0",JAMIRO,STOCK 12,NM 2/50 85% AEGEAN COTTON GOTS LS 15% CASHMERE
JAMIRO 12,"39,0",JAMIRO,STOCK 12,NM 3/50 85% AEGEAN COTTON GOTS LS 15% CASHMERE
QUAI 14,"33,0",JAMIRO,STOCK 12,NM 2/50 90% AEGEAN COTTON GOTS LS 10% CASHMERE
QUAI CORD 3,"35,0",JAMIRO,STOCK 4,NM 2/50X10 85% AEGEAN COTTON GOTS LS 15% CASHMERE
WHISPER 14 ,"23,0",GENERAL,STOCK 4,NM 2/50 70% AEGEAN COTTON GOTS LS 30% EXTRAFINE WOOL RWS
WHISPER 12 ,"23,0",GENERAL,STOCK 4,NM 3/50 70% AEGEAN COTTON GOTS LS 30% EXTRAFINE WOOL RWS
TART 18,"57,0",TART,STOCK 4,NM 2/60 80% PIMA COTTON ELS 10% CASHMERE 10% SILK MULBERRY
TART 7 ,"59,0",TART,STOCK 4,NM 2/60X4 80% PIMA COTTON ELS 10% CASHMERE 10% SILK MULBERRY
HUITRE 14 ,"64,0",HUITRE,STOCK 4,NM 2/50 70% PIMA COTTON ELS 15% CASHMERE 15% SILK MULBERRY
HUITRE CORD 3 ,"66,0",HUITRE,STOCK 4,NM 2/50X12 70% PIMA COTTON ELS 15% CASHMERE 15% SILK MULBERRY
VOGUE 14 ,"59,0",VOGUE,STOCK 4,NM 2/50 70% PIMA COTTON ELS 30% SILK MULBERRY
VOGUE 18 ,"64,0",VOGUE,STOCK 4,NM 2/68 70% PIMA COTTON ELS 30% SILK MULBERRY
VOGUE TAPE 3 ,"69,0",VOGUE,STOCK 4,NM 3500 70% PIMA COTTON ELS 30% SILK MULBERRY
ETNEO 3,"19,00",GENERAL,STOCK 4,NM 4/10 100% AEGEAN COTTON GOTS GASSED MERCERIZED GOTS LS
ETNEO 3 PRINTED,"26,00",GENERAL,STOCK 4,NM 4/10 100% AEGEAN COTTON GOTS GASSED MERCERIZED GOTS LS
PARSLEY CORD 2100 GLOSS,"20,00",MERCERIZED,STOCK 4,NM 2/50*12 100% AEGEAN COTTON GASSED MERCERIZED GOTS LS